"日期","收市","開市","高","低","成交量","更改%"
"2020年12月15日","504.00","507.00","510.00","504.00","40.84M","-0.79%"
"2020年12月14日","508.00","512.00","513.00","508.00","30.81M","-1.55%"
"2020年12月11日","516.00","517.00","517.00","505.00","51.30M","0.78%"
"2020年12月10日","512.00","511.00","515.00","510.00","43.51M","-1.54%"
"2020年12月9日","520.00","521.00","524.00","520.00","43.87M","-0.76%"
"2020年12月8日","524.00","514.00","525.00","509.00","41.29M","1.95%"
"2020年12月7日","514.00","512.00","515.00","506.00","44.74M","2.19%"
"2020年12月4日","503.00","498.50","505.00","497.50","54.47M","1.21%"
"2020年12月3日","497.00","499.50","499.50","495.00","35.96M","-0.40%"
"2020年12月2日","499.00","499.50","500.00","493.50","50.95M","1.84%"
"2020年12月1日","490.00","489.50","490.00","483.50","37.35M","1.98%"
"2020年11月30日","480.50","493.00","493.50","480.50","149.31M","-1.74%"
"2020年11月27日","489.00","487.50","492.00","486.50","35.20M","0.00%"
"2020年11月26日","489.00","489.00","493.50","488.00","31.84M","0.41%"
"2020年11月25日","487.00","495.00","495.50","487.00","42.07M","-1.02%"
"2020年11月24日","492.00","499.50","500.00","491.50","36.13M","-0.91%"
"2020年11月23日","496.50","494.50","498.50","492.00","38.37M","1.74%"
"2020年11月20日","488.00","486.00","490.00","486.00","35.24M","-0.41%"
"2020年11月19日","490.00","499.00","499.00","490.00","44.87M","-1.41%"
"2020年11月18日","497.00","490.00","497.00","486.50","50.88M","2.37%"
"2020年11月17日","485.50","502.00","506.00","485.50","73.54M","0.31%"
"2020年11月16日","484.00","470.00","484.50","469.00","82.79M","4.76%"
"2020年11月13日","462.00","459.00","462.00","456.50","31.48M","0.87%"
"2020年11月12日","458.00","463.00","463.50","457.50","40.41M","0.22%"
"2020年11月11日","457.00","448.50","457.00","448.50","36.94M","1.33%"
"2020年11月10日","451.00","452.00","454.50","448.50","35.26M","-1.64%"
"2020年11月9日","458.50","458.00","460.00","454.00","39.57M","1.33%"
